,customer_id,age,income,region,account_type,transaction_id,amount,category,date
0,1001,52,114983,Basel,Premium,129,162.16,Groceries,2025-06-30
1,1001,52,114983,Basel,Premium,371,94.06,Dining,2024-08-02
2,1001,52,114983,Basel,Premium,633,56.48,Dining,2024-05-29
3,1001,52,114983,Basel,Premium,707,96.55,Dining,2024-04-23
4,1001,52,114983,Basel,Premium,1053,184.26,Utilities,2025-01-08
5,1001,52,114983,Basel,Premium,2140,186.85,Groceries,2024-12-10
6,1001,52,114983,Basel,Premium,2720,87.72,Groceries,2025-04-02
7,1001,52,114983,Basel,Premium,4893,118.54,Utilities,2024-01-09
8,1001,52,114983,Basel,Premium,6861,119.09,Utilities,2024-01-29
9,1001,52,114983,Basel,Premium,7016,145.89,Healthcare,2025-02-20
10,1001,52,114983,Basel,Premium,7292,139.59,Dining,2024-09-19
11,1001,52,114983,Basel,Premium,8450,102.61,Electronics,2024-01-29
12,1002,42,103115,Basel,Basic,980,84.43,Groceries,2025-02-07
13,1002,42,103115,Basel,Basic,1416,107.12,Healthcare,2024-08-11
14,1002,42,103115,Basel,Basic,2627,103.55,Dining,2024-07-22
15,1002,42,103115,Basel,Basic,2708,109.9,Dining,2025-03-04
16,1002,42,103115,Basel,Basic,3254,131.83,Dining,2024-06-20
17,1002,42,103115,Basel,Basic,5696,68.97,Utilities,2024-03-18
18,1002,42,103115,Basel,Basic,5811,158.07,Healthcare,2024-01-03
19,1002,42,103115,Basel,Basic,5951,85.03,Utilities,2024-01-11
20,1003,54,81490,Basel,Basic,658,146.56,Groceries,2025-06-11
21,1003,54,81490,Basel,Basic,2423,111.09,Groceries,2025-01-19
22,1003,54,81490,Basel,Basic,5041,146.67,Utilities,2025-05-15
23,1003,54,81490,Basel,Basic,5139,123.11,Healthcare,2025-05-27
24,1003,54,81490,Basel,Basic,6937,57.03,Groceries,2024-06-24
25,1003,54,81490,Basel,Basic,8883,95.64,Utilities,2024-08-17
26,1003,54,81490,Basel,Basic,9490,67.25,Dining,2024-11-09
27,1003,54,81490,Basel,Basic,9600,64.19,Healthcare,2024-01-19
28,1003,54,81490,Basel,Basic,9968,177.27,Dining,2024-01-07
29,1004,67,63826,Bern,Premium,1719,87.46,Dining,2025-03-20
30,1004,67,63826,Bern,Premium,2118,148.06,Groceries,2025-04-18
31,1004,67,63826,Bern,Premium,2203,119.36,Travel,2025-05-05
32,1004,67,63826,Bern,Premium,5066,87.18,Travel,2024-12-16
33,1004,67,63826,Bern,Premium,6317,113.2,Groceries,2024-05-14
34,1004,67,63826,Bern,Premium,6947,186.47,Healthcare,2024-11-28
35,1004,67,63826,Bern,Premium,9711,162.54,Dining,2024-02-07
36,1005,41,97455,Lausanne,Basic,1570,59.5,Dining,2024-03-07
37,1005,41,97455,Lausanne,Basic,7780,73.07,Dining,2024-09-20
38,1005,41,97455,Lausanne,Basic,8024,123.31,Healthcare,2025-03-06
39,1005,41,97455,Lausanne,Basic,9316,182.13,Groceries,2024-07-20
40,1005,41,97455,Lausanne,Basic,9783,146.92,Groceries,2025-03-13
41,1006,41,89837,Lausanne,Premium,2617,138.9,Groceries,2024-08-23
42,1006,41,89837,Lausanne,Premium,3819,150.85,Electronics,2024-08-20
43,1006,41,89837,Lausanne,Premium,4377,164.05,Groceries,2025-04-08
44,1006,41,89837,Lausanne,Premium,5644,64.81,Groceries,2024-05-19
45,1006,41,89837,Lausanne,Premium,8700,52.56,Electronics,2025-01-09
46,1007,68,102379,Geneva,Basic,570,70.8,Groceries,2024-08-30
47,1007,68,102379,Geneva,Basic,1863,126.4,Groceries,2024-03-11
48,1007,68,102379,Geneva,Basic,2701,137.05,Groceries,2024-02-18
49,1007,68,102379,Geneva,Basic,3423,107.17,Groceries,2024-07-18
50,1007,68,102379,Geneva,Basic,3707,161.95,Groceries,2025-06-21
51,1007,68,102379,Geneva,Basic,3726,102.97,Healthcare,2024-06-19
52,1007,68,102379,Geneva,Basic,3963,168.45,Groceries,2024-06-29
53,1007,68,102379,Geneva,Basic,4675,76.4,Groceries,2024-10-03
54,1007,68,102379,Geneva,Basic,5967,56.28,Dining,2024-01-12
55,1007,68,102379,Geneva,Basic,6518,74.4,Healthcare,2024-06-23
56,1007,68,102379,Geneva,Basic,8250,101.04,Dining,2024-05-21
57,1007,68,102379,Geneva,Basic,8784,63.0,Dining,2025-01-16
58,1008,56,95879,Lausanne,Basic,458,101.83,Dining,2024-08-31
59,1008,56,95879,Lausanne,Basic,1427,173.27,Dining,2025-05-23
60,1008,56,95879,Lausanne,Basic,3864,140.96,Healthcare,2024-01-24
61,1008,56,95879,Lausanne,Basic,6373,55.02,Groceries,2024-01-20
62,1008,56,95879,Lausanne,Basic,7152,141.67,Travel,2024-07-25
63,1008,56,95879,Lausanne,Basic,7528,129.37,Dining,2025-03-11
64,1008,56,95879,Lausanne,Basic,8003,113.64,Electronics,2025-05-11
65,1008,56,95879,Lausanne,Basic,8034,74.89,Electronics,2024-01-06
66,1008,56,95879,Lausanne,Basic,8086,88.36,Healthcare,2024-03-31
67,1008,56,95879,Lausanne,Basic,8213,114.22,Utilities,2024-02-22
68,1008,56,95879,Lausanne,Basic,9773,98.71,Utilities,2025-03-05
69,1009,37,106238,Lausanne,Basic,114,160.67,Groceries,2024-06-27
70,1009,37,106238,Lausanne,Basic,1348,152.46,Healthcare,2024-11-26
71,1009,37,106238,Lausanne,Basic,2825,57.91,Dining,2024-11-24
72,1009,37,106238,Lausanne,Basic,3890,48.53,Dining,2024-07-21
73,1009,37,106238,Lausanne,Basic,4753,141.5,Electronics,2025-01-27
74,1009,37,106238,Lausanne,Basic,5261,128.41,Dining,2024-03-13
75,1009,37,106238,Lausanne,Basic,6367,71.28,Groceries,2024-08-22
76,1009,37,106238,Lausanne,Basic,6615,122.03,Groceries,2024-06-05
77,1010,53,66619,Basel,Basic,416,53.08,Dining,2025-06-23
78,1010,53,66619,Basel,Basic,981,81.19,Travel,2024-07-24
79,1010,53,66619,Basel,Basic,1060,193.53,Groceries,2024-08-23
80,1010,53,66619,Basel,Basic,2476,119.54,Electronics,2025-04-29
81,1010,53,66619,Basel,Basic,4344,81.25,Electronics,2024-01-28
82,1010,53,66619,Basel,Basic,5224,75.83,Dining,2025-02-25
83,1010,53,66619,Basel,Basic,5682,98.21,Groceries,2025-04-15
84,1010,53,66619,Basel,Basic,6348,99.97,Groceries,2025-04-22
85,1010,53,66619,Basel,Basic,7554,102.78,Travel,2024-09-14
86,1010,53,66619,Basel,Basic,9706,194.94,Healthcare,2024-09-26
87,1011,38,112934,Basel,Premium,1638,173.62,Travel,2024-07-15
88,1011,38,112934,Basel,Premium,3924,210.42,Groceries,2025-03-07
89,1011,38,112934,Basel,Premium,4256,114.83,Travel,2024-11-10
90,1011,38,112934,Basel,Premium,5309,48.97,Dining,2025-06-02
91,1011,38,112934,Basel,Premium,5397,86.67,Utilities,2024-11-02
92,1011,38,112934,Basel,Premium,6333,34.69,Groceries,2025-01-31
93,1011,38,112934,Basel,Premium,8032,76.08,Electronics,2024-04-19
